condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
50L_50NL,2,50L_50NL_2_4,8584,8584,0
50L_50NL,3,50L_50NL_3_3,18302,18302,0
50L_50NL,1,50L_50NL_1_2,18280,18280,0
50L_50NL,3,50L_50NL_3_1,7657,7657,0
50L_50NL,3,50L_50NL_3_4,3658,3658,0
50L_50NL,1,50L_50NL_1_3,18524,18524,0
50L_50NL,2,50L_50NL_2_2,17350,17350,0
50L_50NL,1,50L_50NL_1_4,4692,4692,0
50L_50NL,2,50L_50NL_2_1,4698,4698,0
50L_50NL,3,50L_50NL_3_2,7165,7165,0
50L_50NL,2,50L_50NL_2_3,16847,16847,0
50L_50NL,1,50L_50NL_1_1,3954,3954,0
